,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,product_importance,gender,discount_offered,weight_in_gms,reached_ontime
0,D,Flight,4,2,177,3,low,F,44,1233,1
1,F,Flight,4,5,216,2,low,M,59,3088,1
2,A,Flight,2,2,183,4,low,M,48,3374,1
3,B,Flight,3,3,176,4,medium,M,10,1177,1
4,C,Flight,2,2,184,3,medium,F,46,2484,1
5,F,Flight,3,1,162,3,medium,F,12,1417,1
6,D,Flight,3,4,250,3,low,F,3,2371,1
7,F,Flight,4,1,233,2,low,F,48,2804,1
8,A,Flight,3,4,150,3,low,F,11,1861,1
9,B,Flight,3,2,164,3,medium,F,29,1187,1
10,C,Flight,3,4,189,2,medium,M,12,2888,1
11,F,Flight,4,5,232,3,medium,F,32,3253,1
12,D,Flight,3,5,198,3,medium,F,1,3667,1
13,F,Flight,4,4,275,3,high,M,29,2602,1
14,A,Flight,4,3,152,3,low,M,43,1009,1
15,B,Flight,4,3,227,3,low,F,45,2707,1
16,C,Flight,3,4,143,2,medium,F,6,1194,1
17,F,Ship,5,5,227,3,medium,M,36,3952,1
18,D,Ship,5,5,239,3,high,M,18,2495,1
19,F,Ship,4,5,145,3,medium,M,45,1059,1
20,A,Ship,3,3,161,2,medium,F,38,1521,1
21,B,Ship,3,1,232,4,medium,F,51,2899,1
22,C,Ship,2,5,156,2,low,M,2,1750,1
23,F,Ship,4,3,211,3,high,M,12,3922,1
24,D,Ship,4,5,251,2,medium,F,28,3561,1
25,F,Ship,3,1,225,4,low,M,29,3496,1
26,A,Ship,4,1,172,3,high,F,24,1066,1
27,B,Ship,5,1,162,3,medium,M,31,1435,1
28,C,Ship,2,3,234,4,low,M,44,3134,1
29,F,Ship,5,4,183,2,low,F,36,3819,1
30,D,Ship,3,4,266,2,medium,F,38,2741,1
31,F,Ship,5,3,257,2,low,F,61,3341,1
32,A,Ship,3,1,223,3,low,F,22,3795,1
33,B,Ship,4,2,234,3,medium,M,4,3261,1
